CustomerID,Cliente,ProductID,Producto,Categoria,Proveedor,UnidadesTotales,TotalPedidos,PromedioPorPedido,MaximoPorPedido,MinimoPorPedido,ValorTotal
ALFKI,Alfreds Futterkiste,58,Escargots de Bourgogne,Seafood,Escargots Nouveaux,40,1,40,40,40,"530,00"
ALFKI,Alfreds Futterkiste,39,Chartreuse verte,Beverages,Aux joyeux ecclésiastiques,21,1,21,21,21,"378,00"
ALFKI,Alfreds Futterkiste,63,Vegie-spread,Condiments,"Pavlova, Ltd.",20,1,20,20,20,"878,00"
ALFKI,Alfreds Futterkiste,71,Flotemysost,Dairy Products,Norske Meierier,20,1,20,20,20,"430,00"
ALFKI,Alfreds Futterkiste,28,Rössle Sauerkraut,Produce,Plutzer Lebensmittelgroßmärkte AG,17,2,8,15,2,"775,20"
ALFKI,Alfreds Futterkiste,6,Grandma's Boysenberry Spread,Condiments,Grandma Kelly's Homestead,16,1,16,16,16,"400,00"
ALFKI,Alfreds Futterkiste,76,Lakkalikööri,Beverages,Karkki Oy,15,1,15,15,15,"270,00"
ALFKI,Alfreds Futterkiste,59,Raclette Courdavault,Dairy Products,Gai pâturage,15,1,15,15,15,"825,00"
ALFKI,Alfreds Futterkiste,3,Aniseed Syrup,Condiments,Exotic Liquids,6,1,6,6,6,"60,00"
ALFKI,Alfreds Futterkiste,46,Spegesild,Seafood,Lyngbysild,2,1,2,2,2,"24,00"
ALFKI,Alfreds Futterkiste,77,Original Frankfurter grüne Soße,Condiments,Plutzer Lebensmittelgroßmärkte AG,2,1,2,2,2,"26,00"
ANATR,Ana Trujillo Emparedados y helados,13,Konbu,Seafood,Mayumi's,10,1,10,10,10,"60,00"
ANATR,Ana Trujillo Emparedados y helados,32,Mascarpone Fabioli,Dairy Products,Formaggi Fortini s.r.l.,10,1,10,10,10,"320,00"
ANATR,Ana Trujillo Emparedados y helados,60,Camembert Pierrot,Dairy Products,Gai pâturage,10,1,10,10,10,"340,00"
ANATR,Ana Trujillo Emparedados y helados,72,Mozzarella di Giovanni,Dairy Products,Formaggi Fortini s.r.l.,10,1,10,10,10,"348,00"
ANATR,Ana Trujillo Emparedados y helados,19,Teatime Chocolate Biscuits,Confections,"Specialty Biscuits, Ltd.",7,1,7,7,7,"64,40"
ANATR,Ana Trujillo Emparedados y helados,42,Singaporean Hokkien Fried Mee,Grains/Cereals,Leka Trading,5,1,5,5,5,"70,00"
ANATR,Ana Trujillo Emparedados y helados,70,Outback Lager,Beverages,"Pavlova, Ltd.",5,1,5,5,5,"60,00"
ANATR,Ana Trujillo Emparedados y helados,14,Tofu,Produce,Mayumi's,3,1,3,3,3,"69,75"
ANATR,Ana Trujillo Emparedados y helados,11,Queso Cabrales,Dairy Products,Cooperativa de Quesos 'Las Cabras',2,1,2,2,2,"42,00"
ANATR,Ana Trujillo Emparedados y helados,69,Gudbrandsdalsost,Dairy Products,Norske Meierier,1,1,1,1,1,"28,80"
ANTON,Antonio Moreno Taquería,11,Queso Cabrales,Dairy Products,Cooperativa de Quesos 'Las Cabras',74,2,37,50,24,"1453,20"
ANTON,Antonio Moreno Taquería,34,Sasquatch Ale,Beverages,Bigfoot Breweries,40,1,40,40,40,"560,00"
ANTON,Antonio Moreno Taquería,33,Geitost,Dairy Products,Norske Meierier,38,2,19,30,8,"95,00"
ANTON,Antonio Moreno Taquería,75,Rhönbräu Klosterbier,Beverages,Plutzer Lebensmittelgroßmärkte AG,30,1,30,30,30,"232,50"
ANTON,Antonio Moreno Taquería,26,Gumbär Gummibärchen,Confections,Heli Süßwaren GmbH & Co. KG,30,1,30,30,30,"936,90"
ANTON,Antonio Moreno Taquería,53,Perth Pasties,Meat/Poultry,"G'day, Mate",25,1,25,25,25,"820,00"
ANTON,Antonio Moreno Taquería,42,Singaporean Hokkien Fried Mee,Grains/Cereals,Leka Trading,20,1,20,20,20,"280,00"
ANTON,Antonio Moreno Taquería,2,Chang,Beverages,Exotic Liquids,20,1,20,20,20,"380,00"
ANTON,Antonio Moreno Taquería,17,Alice Mutton,Meat/Poultry,"Pavlova, Ltd.",18,1,18,18,18,"702,00"
ANTON,Antonio Moreno Taquería,43,Ipoh Coffee,Beverages,Leka Trading,15,1,15,15,15,"690,00"
ANTON,Antonio Moreno Taquería,48,Chocolade,Confections,Zaanse Snoepfabriek,15,1,15,15,15,"191,25"
ANTON,Antonio Moreno Taquería,59,Raclette Courdavault,Dairy Products,Gai pâturage,15,1,15,15,15,"825,00"
ANTON,Antonio Moreno Taquería,40,Boston Crab Meat,Seafood,New England Seafood Cannery,10,1,10,10,10,"184,00"
ANTON,Antonio Moreno Taquería,57,Ravioli Angelo,Grains/Cereals,Pasta Buttini s.r.l.,5,1,5,5,5,"97,50"
ANTON,Antonio Moreno Taquería,66,Louisiana Hot Spiced Okra,Condiments,New Orleans Cajun Delights,4,1,4,4,4,"68,00"
AROUT,Around the Horn,31,Gorgonzola Telino,Dairy Products,Formaggi Fortini s.r.l.,115,3,38,50,15,"1437,50"
AROUT,Around the Horn,57,Ravioli Angelo,Grains/Cereals,Pasta Buttini s.r.l.,65,2,32,40,25,"1170,00"
AROUT,Around the Horn,70,Outback Lager,Beverages,"Pavlova, Ltd.",53,2,26,28,25,"720,00"
AROUT,Around the Horn,20,Sir Rodney's Marmalade,Confections,"Specialty Biscuits, Ltd.",50,1,50,50,50,"4050,00"
AROUT,Around the Horn,50,Valkoinen suklaa,Confections,Karkki Oy,39,2,19,24,15,"585,00"
AROUT,Around the Horn,52,Filo Mix,Grains/Cereals,"G'day, Mate",38,2,19,30,8,"266,00"
AROUT,Around the Horn,46,Spegesild,Seafood,Lyngbysild,28,1,28,28,28,"336,00"
AROUT,Around the Horn,47,Zaanse koeken,Confections,Zaanse Snoepfabriek,25,1,25,25,25,"237,50"
AROUT,Around the Horn,24,Guaraná Fantástica,Beverages,Refrescos Americanas LTDA,25,1,25,25,25,"90,00"
AROUT,Around the Horn,55,Pâté chinois,Meat/Poultry,Ma Maison,21,1,21,21,21,"504,00"
AROUT,Around the Horn,56,Gnocchi di nonna Alice,Grains/Cereals,Pasta Buttini s.r.l.,20,1,20,20,20,"608,00"
AROUT,Around the Horn,51,Manjimup Dried Apples,Produce,"G'day, Mate",20,1,20,20,20,"1060,00"
AROUT,Around the Horn,13,Konbu,Seafood,Mayumi's,20,1,20,20,20,"96,00"
AROUT,Around the Horn,53,Perth Pasties,Meat/Poultry,"G'day, Mate",18,1,18,18,18,"590,40"
AROUT,Around the Horn,36,Inlagd Sill,Seafood,Svensk Sjöföda AB,16,1,16,16,16,"304,00"
AROUT,Around the Horn,48,Chocolade,Confections,Zaanse Snoepfabriek,15,1,15,15,15,"153,00"
AROUT,Around the Horn,2,Chang,Beverages,Exotic Liquids,15,1,15,15,15,"285,00"
AROUT,Around the Horn,60,Camembert Pierrot,Dairy Products,Gai pâturage,15,1,15,15,15,"510,00"
AROUT,Around the Horn,67,Laughing Lumberjack Lager,Beverages,Bigfoot Breweries,15,1,15,15,15,"210,00"
AROUT,Around the Horn,41,Jack's New England Clam Chowder,Seafood,New England Seafood Cannery,14,1,14,14,14,"135,10"
AROUT,Around the Horn,71,Flotemysost,Dairy Products,Norske Meierier,12,1,12,12,12,"258,00"
AROUT,Around the Horn,22,Gustaf's Knäckebröd,Grains/Cereals,PB Knäckebröd AB,4,1,4,4,4,"84,00"
AROUT,Around the Horn,35,Steeleye Stout,Beverages,Bigfoot Breweries,4,1,4,4,4,"72,00"
AROUT,Around the Horn,73,Röd Kaviar,Seafood,Svensk Sjöföda AB,3,1,3,3,3,"45,00"
BERGS,Berglunds snabbköp,40,Boston Crab Meat,Seafood,New England Seafood Cannery,75,2,37,50,25,"1380,00"
BERGS,Berglunds snabbköp,47,Zaanse koeken,Confections,Zaanse Snoepfabriek,61,2,30,40,21,"579,50"
BERGS,Berglunds snabbköp,43,Ipoh Coffee,Beverages,Leka Trading,60,1,60,60,60,"2760,00"
BERGS,Berglunds snabbköp,75,Rhönbräu Klosterbier,Beverages,Plutzer Lebensmittelgroßmärkte AG,51,3,17,30,6,"348,75"
BERGS,Berglunds snabbköp,26,Gumbär Gummibärchen,Confections,Heli Süßwaren GmbH & Co. KG,50,2,25,35,15,"1466,55"
BERGS,Berglunds snabbköp,28,Rössle Sauerkraut,Produce,Plutzer Lebensmittelgroßmärkte AG,50,2,25,30,20,"2280,00"
BERGS,Berglunds snabbköp,30,Nord-Ost Matjeshering,Seafood,Nord-Ost-Fisch Handelsgesellschaft mbH,50,2,25,40,10,"1294,50"
BERGS,Berglunds snabbköp,41,Jack's New England Clam Chowder,Seafood,New England Seafood Cannery,40,2,20,30,10,"327,50"
BERGS,Berglunds snabbköp,54,Tourtière,Meat/Poultry,Ma Maison,36,3,12,15,6,"244,95"
BERGS,Berglunds snabbköp,60,Camembert Pierrot,Dairy Products,Gai pâturage,35,2,17,20,15,"1088,00"
BERGS,Berglunds snabbköp,1,Chai,Beverages,Exotic Liquids,35,1,35,35,35,"630,00"
BERGS,Berglunds snabbköp,71,Flotemysost,Dairy Products,Norske Meierier,32,2,16,20,12,"688,00"
BERGS,Berglunds snabbköp,3,Aniseed Syrup,Condiments,Exotic Liquids,30,1,30,30,30,"300,00"
BERGS,Berglunds snabbköp,20,Sir Rodney's Marmalade,Confections,"Specialty Biscuits, Ltd.",28,1,28,28,28,"1814,40"
BERGS,Berglunds snabbköp,39,Chartreuse verte,Beverages,Aux joyeux ecclésiastiques,26,2,13,20,6,"446,40"
BERGS,Berglunds snabbköp,52,Filo Mix,Grains/Cereals,"G'day, Mate",25,1,25,25,25,"175,00"
BERGS,Berglunds snabbköp,73,Röd Kaviar,Seafood,Svensk Sjöföda AB,25,1,25,25,25,"300,00"
BERGS,Berglunds snabbköp,19,Teatime Chocolate Biscuits,Confections,"Specialty Biscuits, Ltd.",25,1,25,25,25,"230,00"
BERGS,Berglunds snabbköp,10,Ikura,Seafood,Tokyo Traders,22,2,11,20,2,"682,00"
BERGS,Berglunds snabbköp,2,Chang,Beverages,Exotic Liquids,21,1,21,21,21,"399,00"
BERGS,Berglunds snabbköp,76,Lakkalikööri,Beverages,Karkki Oy,21,1,21,21,21,"378,00"
BERGS,Berglunds snabbköp,55,Pâté chinois,Meat/Poultry,Ma Maison,20,1,20,20,20,"384,00"
BERGS,Berglunds snabbköp,24,Guaraná Fantástica,Beverages,Refrescos Americanas LTDA,18,2,9,12,6,"70,20"
BERGS,Berglunds snabbköp,44,Gula Malacca,Condiments,Leka Trading,16,1,16,16,16,"248,00"
BERGS,Berglunds snabbköp,14,Tofu,Produce,Mayumi's,16,1,16,16,16,"372,00"
BERGS,Berglunds snabbköp,49,Maxilaku,Confections,Karkki Oy,15,1,15,15,15,"300,00"
BERGS,Berglunds snabbköp,38,Côte de Blaye,Beverages,Aux joyeux ecclésiastiques,15,1,15,15,15,"3952,50"
BERGS,Berglunds snabbköp,59,Raclette Courdavault,Dairy Products,Gai pâturage,15,1,15,15,15,"660,00"
BERGS,Berglunds snabbköp,53,Perth Pasties,Meat/Poultry,"G'day, Mate",12,1,12,12,12,"393,60"
BERGS,Berglunds snabbköp,16,Pavlova,Confections,"Pavlova, Ltd.",12,1,12,12,12,"209,40"
BERGS,Berglunds snabbköp,4,Chef Anton's Cajun Seasoning,Condiments,New Orleans Cajun Delights,12,1,12,12,12,"264,00"
BERGS,Berglunds snabbköp,17,Alice Mutton,Meat/Poultry,"Pavlova, Ltd.",10,1,10,10,10,"312,00"
BERGS,Berglunds snabbköp,32,Mascarpone Fabioli,Dairy Products,Formaggi Fortini s.r.l.,10,1,10,10,10,"320,00"
BERGS,Berglunds snabbköp,29,Thüringer Rostbratwurst,Meat/Poultry,Plutzer Lebensmittelgroßmärkte AG,10,1,10,10,10,"1237,90"
BERGS,Berglunds snabbköp,35,Steeleye Stout,Beverages,Bigfoot Breweries,8,1,8,8,8,"115,20"
BERGS,Berglunds snabbköp,63,Vegie-spread,Condiments,"Pavlova, Ltd.",8,1,8,8,8,"280,80"
BERGS,Berglunds snabbköp,13,Konbu,Seafood,Mayumi's,6,1,6,6,6,"36,00"
BLAUS,Blauer See Delikatessen,21,Sir Rodney's Scones,Confections,"Specialty Biscuits, Ltd.",23,3,7,12,3,"230,00"
BLAUS,Blauer See Delikatessen,60,Camembert Pierrot,Dairy Products,Gai pâturage,21,1,21,21,21,"714,00"
